school_name,city,state,zip,price,bed,bath,acres,sqft,sold_year
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 30 WILTON, Bronx, NY,10454,799000.0,6.0,3.0,0.05,2280.0,2015.0
Hackettstown High School, Allamuchy Township, NJ,07840,599900.0,4.0,4.0,0.18,2450.0,2015.0
EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL, New York City, NY,10025,5995000.0,5.0,3.0,0.03,3264.0,2015.0
Marlboro High School, Marlboro, NJ,07746,725000.0,4.0,4.0,0.34,2404.0,2015.0
PS 9 SARAH ANDERSON, New York City, NY,10024,750000.0,1.0,1.0,0.2,522.0,2015.0
Vinal Technical High School, Middletown, CT,06457,210000.0,3.0,2.0,0.25,1267.0,2015.0
Freehold Learning Center, Freehold, NJ,07728,395000.0,3.0,3.0,0.02,1510.0,2015.0
Freehold Learning Center, Freehold, NJ,07728,395000.0,3.0,3.0,0.02,1510.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL, New York City, NY,10025,2000000.0,3.0,2.0,0.23,1477.0,2015.0
Vinal Technical High School, Middletown, CT,06457,295000.0,4.0,2.0,0.22,1683.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
Vinal Technical High School, Middletown, CT,06457,210000.0,3.0,2.0,0.25,1267.0,2015.0
Vinal Technical High School, Middletown, CT,06457,515000.0,4.0,3.0,0.7,2519.0,2015.0
Marlboro High School, Marlboro, NJ,07746,725000.0,4.0,4.0,0.34,2404.0,2015.0
Vinal Technical High School, Middletown, CT,06457,295000.0,4.0,2.0,0.22,1683.0,2015.0
Manalapan High School, Manalapan, NJ,07726,280000.0,2.0,2.0,0.03,1130.0,2015.0
HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL, New York City, NY,10030,624900.0,2.0,1.0,0.04,762.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
Hackettstown High School, Allamuchy Township, NJ,07840,599900.0,4.0,4.0,0.18,2450.0,2015.0
HARLEM VILLAGE ACADEMY WEST CHARTER SCHOOL, New York City, NY,10030,624900.0,2.0,1.0,0.04,762.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
Vinal Technical High School, Middletown, CT,06457,515000.0,4.0,3.0,0.7,2519.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
Freehold Learning Center, Freehold, NJ,07728,395000.0,3.0,3.0,0.02,1510.0,2015.0
Hackettstown High School, Allamuchy Township, NJ,07840,599900.0,4.0,4.0,0.18,2450.0,2015.0
Marlboro High School, Marlboro, NJ,07746,725000.0,4.0,4.0,0.34,2404.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
PS 48 PO MICHAEL J BUCZEK, New York City, NY,10033,669000.0,2.0,1.0,0.27,870.0,2015.0
Manalapan High School, Manalapan, NJ,07726,280000.0,2.0,2.0,0.03,1130.0,2015.0
Marlboro High School, Marlboro, NJ,07746,725000.0,4.0,4.0,0.34,2404.0,2015.0
Lincoln, Garwood, NJ,07027,589000.0,4.0,2.0,0.13,19998.0,2015.0
EDWARD A REYNOLDS WEST SIDE HIGH SCHOOL, New York City, NY,10025,5995000.0,5.0,3.0,0.03,3264.0,2015.0
Side By Side Charter School, Norwalk, CT,06854,375000.0,5.0,2.0,0.1,1495.0,2015.0
VANGUARD HIGH SCHOOL, New York City, NY,10065,9950000.0,5.0,4.0,0.05,4500.0,2015.0
Joyce Kilmer School, Milltown, NJ,08850,520000.0,3.0,3.0,0.39,1731.0,2015.0
Joyce Kilmer School, Milltown, NJ,08850,399900.0,3.0,1.0,0.14,884.0,2015.0
Oliver Wolcott Technical High School, Torrington, CT,06790,224500.0,4.0,2.0,0.12,2484.0,2015.0
Joyce Kilmer School, Milltown, NJ,08850,499000.0,4.0,2.0,0.22,1998.0,2015.0
Joyce Kilmer School, Milltown, NJ,08850,499000.0,4.0,2.0,0.22,1998.0,2015.0
Joyce Kilmer School, Milltown, NJ,08850,520000.0,3.0,3.0,0.39,1731.0,2015.0
Oliver Wolcott Technical High School, Torrington, CT,06790,224500.0,4.0,2.0,0.12,2484.0,2015.0
LIME KILN ELEMENTARY SCHOOL, Suffern, NY,10901,300000.0,2.0,2.0,0.02,1192.0,2015.0
Joyce Kilmer School, Milltown, NJ,08850,399900.0,3.0,1.0,0.14,884.0,2015.0
LIME KILN ELEMENTARY SCHOOL, Suffern, NY,10901,1159000.0,5.0,4.0,2.37,3096.0,2015.0
LIME KILN ELEMENTARY SCHOOL, Suffern, NY,10901,1159000.0,5.0,4.0,2.37,3096.0,2015.0
Oliver Wolcott Technical High School, Torrington, CT,06790,319900.0,4.0,3.0,0.35,2202.0,2015.0
Oliver Wolcott Technical High School, Torrington, CT,06790,319900.0,4.0,3.0,0.35,2202.0,2015.0
Bayview Elementary School, Belford, NJ,07718,579000.0,4.0,2.0,0.17,1850.0,2015.0
Bayview Elementary School, Belford, NJ,07718,399900.0,2.0,2.0,0.34,1376.0,2015.0
Bayview Elementary School, Belford, NJ,07718,579000.0,4.0,2.0,0.17,1850.0,2015.0
Bayview Elementary School, Belford, NJ,07718,399900.0,2.0,2.0,0.34,1376.0,2015.0
Bayview Elementary School, Belford, NJ,07718,579000.0,4.0,2.0,0.17,1850.0,2015.0
LIME KILN ELEMENTARY SCHOOL, Suffern, NY,10901,300000.0,2.0,2.0,0.02,1192.0,2015.0
Bayview Elementary School, Belford, NJ,07718,579000.0,4.0,2.0,0.17,1850.0,2015.0
Bayview Elementary School, Belford, NJ,07718,399900.0,2.0,2.0,0.34,1376.0,2015.0
